timestamp,cpu_percent,rss_memory_mb,open_fds
1777396369.55631,0.0,180.578125,58
1777396370.067442,0.0,204.375,280
1777396370.579167,0.0,480.125,2894
1777396371.0926878,0.0,650.8125,4505
1777396371.605848,0.0,794.875,5999
1777396372.117802,0.0,871.3125,7346
1777396372.628309,0.0,1006.15625,8658
1777396373.135941,0.0,1137.15625,9958
1777396373.647328,0.0,1244.75,11182
1777396374.1597319,0.0,1265.09375,12015
1777396374.669908,0.0,1363.0625,13114
1777396375.180243,0.0,1426.390625,14060
1777396375.690826,0.0,1312.15625,11136
1777396376.2013152,0.0,1223.625,8715
1777396376.7092962,0.0,1190.046875,7559
1777396377.21996,0.0,1182.6875,7186
1777396377.730762,0.0,1181.5,3553
1777396378.2417111,0.0,1148.609375,3552
1777396378.7522502,0.0,1147.984375,58
1777396379.258511,0.0,1138.28125,58
1777396379.768981,0.0,1096.484375,58
1777396380.2795389,0.0,1096.484375,58
1777396380.7860968,0.0,1096.484375,58
1777396381.296928,0.0,1096.484375,58
1777396381.807552,0.0,1096.484375,58
1777396382.317939,0.0,1096.484375,58
1777396382.8283908,0.0,1096.484375,58
1777396383.336503,0.0,1096.484375,58
1777396383.844959,0.0,1096.484375,58
1777396384.355628,0.0,1096.484375,58
1777396384.866035,0.0,1096.484375,58
1777396385.376446,0.0,1096.484375,58
1777396385.886285,0.0,1096.484375,58
1777396386.3942232,0.0,1096.484375,58
1777396386.9045818,0.0,1096.484375,58
1777396387.4111092,0.0,1096.484375,58
1777396387.921917,0.0,1096.484375,58
1777396388.4316428,0.0,1096.484375,58
1777396388.942455,0.0,1096.484375,58
1777396389.452868,0.0,1096.703125,58
1777396389.9587462,0.0,1096.703125,58
1777396390.46734,0.0,1096.703125,58
1777396390.978156,0.0,1096.703125,58
1777396391.488597,0.0,1096.703125,58
1777396391.995548,0.0,1096.703125,58
1777396392.508696,0.0,1096.703125,58
1777396393.017822,0.0,1096.703125,58
1777396393.531459,0.0,1096.703125,58
1777396394.04488,0.0,1096.703125,58
1777396394.558429,0.0,1096.703125,58
1777396395.071563,0.0,1096.703125,58
1777396395.584097,0.0,1096.703125,58
1777396396.0969422,0.0,1096.703125,58
1777396396.609628,0.0,1096.703125,58
1777396397.121254,0.0,1096.703125,58
1777396397.63471,0.0,1096.703125,58
1777396398.1450071,0.0,1096.703125,58
1777396398.654537,0.0,1096.703125,58
1777396399.166783,0.0,1096.703125,58
1777396399.678868,0.0,1096.703125,58
1777396400.250474,0.0,1097.328125,75
1777396400.758784,0.0,1097.28125,58
1777396401.265975,0.0,1097.28125,58
1777396401.776248,0.0,1097.28125,58
1777396402.289792,0.0,1138.734375,1091
1777396402.8026009,0.0,1240.875,3415
1777396403.3135118,0.0,1315.03125,5026
1777396403.82588,0.0,1371.4375,6523
1777396404.338955,0.0,1309.125,7673
1777396404.848796,0.0,1328.6875,9020
1777396405.361872,0.0,1350.328125,10197
1777396405.87438,0.0,1415.125,11558
1777396406.3898828,0.0,1518.734375,12749
1777396406.903796,0.0,1623.734375,13912
1777396407.4134421,0.0,1479.671875,11501
1777396407.9199061,0.0,1367.328125,8963
1777396408.426385,0.0,1305.015625,7529
1777396408.937166,0.0,1288.65625,7138
1777396409.444179,0.0,1286.25,5277
1777396409.956966,0.0,1285.03125,58
1777396410.46977,0.0,1285.03125,58
1777396410.979156,0.0,1285.03125,58
1777396411.4908102,0.0,1285.03125,58
1777396412.000117,0.0,1285.03125,58
1777396412.510905,0.0,1285.03125,58
1777396413.023631,0.0,1285.03125,58
1777396413.532128,0.0,1285.03125,58
1777396414.0408828,0.0,1285.03125,58
1777396414.554307,0.0,1285.03125,58
1777396415.0666811,0.0,1285.03125,58
1777396415.583494,0.0,1285.03125,58
1777396416.094203,0.0,1285.03125,58
1777396416.60891,0.0,1285.03125,58
1777396417.123061,0.0,1285.03125,58
1777396417.6367009,0.0,1285.03125,58
1777396418.1502972,0.0,1285.03125,58
1777396418.661642,0.0,1285.03125,58
1777396419.1746309,0.0,1285.03125,58
1777396419.687659,0.0,1230.03125,58
1777396420.198673,0.0,1230.03125,58
1777396420.712955,0.0,1229.625,58
1777396421.222601,0.0,1229.625,58
1777396421.733844,0.0,1229.625,58
1777396422.2419999,0.0,1229.625,58
1777396422.7529678,0.0,1190.359375,58
1777396423.262466,0.0,1172.640625,58
1777396423.77636,0.0,1154.875,58
1777396424.2880929,0.0,1154.203125,58
1777396424.800318,0.0,1145.984375,58
1777396425.3141031,0.0,1130.421875,58
1777396425.828824,0.0,1122.390625,58
1777396426.342773,0.0,1112.4375,58
1777396426.852005,0.0,1112.4375,58
1777396427.363209,0.0,1112.4375,58
1777396427.872483,0.0,1112.4375,58
1777396428.385776,0.0,1112.4375,58
1777396428.8989801,0.0,1112.4375,58
1777396429.408333,0.0,1112.4375,58
1777396429.922024,0.0,1112.4375,58
1777396430.435693,0.0,1112.4375,58
1777396430.95071,0.0,993.71875,58
1777396431.4634318,0.0,993.71875,58
1777396431.977086,0.0,993.71875,58
1777396432.490966,0.0,993.71875,58
1777396432.9987452,0.0,993.71875,58
1777396433.511831,0.0,993.71875,58
1777396434.022798,0.0,993.71875,58
1777396434.533421,0.0,993.71875,58
1777396435.0468428,0.0,993.71875,58
1777396435.559598,0.0,993.71875,58
1777396436.0731788,0.0,993.71875,58
1777396436.585968,0.0,993.71875,58
1777396437.0993059,0.0,993.71875,58
1777396437.614917,0.0,993.71875,58
1777396438.127755,0.0,993.71875,58
1777396438.641477,0.0,993.71875,58
1777396439.1562638,0.0,993.71875,58
1777396439.669369,0.0,993.71875,58
1777396440.183556,0.0,993.71875,58
1777396440.6977768,0.0,993.71875,58
1777396441.2121952,0.0,993.71875,58
1777396441.723045,0.0,993.71875,58
1777396442.235431,0.0,993.71875,58
1777396442.7462049,0.0,993.71875,58
1777396443.258838,0.0,993.71875,58
1777396443.772057,0.0,993.71875,58
1777396444.285682,0.0,993.71875,58
1777396444.798319,0.0,993.71875,58
1777396445.310795,0.0,993.71875,58
1777396445.8259609,0.0,993.71875,58
1777396446.3403149,0.0,993.71875,58
1777396446.849091,0.0,993.71875,58
1777396447.362775,0.0,993.71875,58
1777396447.876263,0.0,993.71875,58
1777396448.38914,0.0,993.71875,58
1777396448.9025102,0.0,993.71875,58
1777396449.414071,0.0,993.71875,58
1777396449.922672,0.0,993.71875,58
1777396450.433556,0.0,993.71875,58
1777396450.94754,0.0,993.71875,58
1777396451.456629,0.0,993.71875,58
1777396451.9684968,0.0,993.71875,58
1777396452.479737,0.0,993.71875,58
1777396452.9928699,0.0,993.71875,58
1777396453.504673,0.0,993.71875,58
1777396454.0178041,0.0,993.71875,58
1777396454.5283499,0.0,993.71875,58
1777396455.0381498,0.0,993.71875,58
1777396455.5521338,0.0,993.71875,58
1777396456.0658119,0.0,993.71875,58
1777396456.5794728,0.0,993.71875,58
1777396457.092635,0.0,993.71875,58
1777396457.602636,0.0,993.71875,58
1777396458.1125681,0.0,993.71875,58
1777396458.626281,0.0,993.71875,58
1777396459.139863,0.0,993.71875,58
1777396459.6529331,0.0,993.71875,58
1777396460.163008,0.0,993.71875,58
1777396460.6760461,0.0,993.71875,58
1777396461.1842618,0.0,993.71875,58
1777396461.6970031,0.0,993.71875,58
1777396462.2103848,0.0,993.71875,58
1777396462.7199721,0.0,993.71875,58
1777396463.226769,0.0,994.09375,58
1777396463.740335,0.0,994.09375,58
1777396464.251628,0.0,994.125,61
1777396464.759611,0.0,994.234375,66
1777396465.273959,0.0,984.234375,58
1777396465.787332,0.0,984.234375,58
1777396466.2981188,0.0,1008.453125,708
1777396466.807884,0.0,1072.171875,2459
1777396467.320106,0.0,1129.140625,3908
1777396467.831,0.0,1194.515625,5472
1777396468.342823,0.0,1237.234375,6593
1777396468.854789,0.0,1303.359375,8006
1777396469.365769,0.0,1350.203125,9064
1777396469.880231,0.0,1417.53125,10391
1777396470.3935869,0.0,1492.25,11744
1777396470.904586,0.0,1539.09375,12467
1777396471.411289,0.0,1398.265625,9464
1777396471.921003,0.0,1295.890625,7279
1777396472.431674,0.0,1258.578125,6484
1777396472.9450262,0.0,1253.796875,6382
1777396473.458868,0.0,1252.109375,58
1777396473.970444,0.0,1252.109375,58
1777396474.4821918,0.0,1252.109375,58
1777396474.991991,0.0,1252.109375,58
1777396475.505335,0.0,1252.109375,58
1777396476.015695,0.0,1252.109375,58
1777396476.528687,0.0,1252.109375,58
1777396477.040798,0.0,1252.109375,58
1777396477.553559,0.0,1252.109375,58
1777396478.064873,0.0,1252.109375,58
1777396478.576521,0.0,1252.109375,58
1777396479.08722,0.0,1252.109375,58
1777396479.5996149,0.0,1252.109375,58
1777396480.11227,0.0,1252.109375,58
1777396480.625216,0.0,1252.109375,58
1777396481.137173,0.0,1252.109375,58
1777396481.647892,0.0,1252.109375,58
1777396482.15698,0.0,1252.109375,58
1777396482.670018,0.0,1252.109375,58
1777396483.1784902,0.0,1252.109375,58
1777396483.690769,0.0,1252.109375,58
1777396484.200851,0.0,1252.109375,58
1777396484.710232,0.0,1252.109375,58
1777396485.223129,0.0,1252.109375,58
1777396485.736141,0.0,1252.109375,58
1777396486.2487218,0.0,1252.109375,58
1777396486.762628,0.0,1252.109375,58
1777396487.2722418,0.0,1252.109375,58
1777396487.786108,0.0,1252.109375,58
1777396488.297787,0.0,1252.109375,58
1777396488.8058612,0.0,1252.109375,58
1777396489.316745,0.0,1252.109375,58
1777396489.8293278,0.0,1252.109375,58
1777396490.3414452,0.0,1252.109375,58
