timestamp,cpu_percent,rss_memory_mb,open_fds
1777395844.765213,0.0,120.65625,39
1777395845.277035,0.0,120.890625,43
1777395845.782491,0.0,120.890625,43
1777395846.290254,0.0,131.875,73
1777395846.800162,0.0,179.15625,138
1777395847.30629,0.0,190.8125,139
1777395847.8129861,0.0,184.09375,139
1777395848.322997,0.0,204.296875,139
1777395848.8325162,0.0,193.71875,139
1777395849.3422961,0.0,187.34375,139
1777395849.849751,0.0,185.640625,139
1777395850.356551,0.0,186.421875,139
1777395850.862384,0.0,185.734375,139
1777395851.36967,0.0,201.640625,139
1777395851.878651,0.0,199.046875,139
1777395852.3875148,0.0,190.953125,139
1777395852.897335,0.0,187.78125,139
1777395853.4044092,0.0,184.28125,139
1777395853.911816,0.0,184.671875,139
1777395854.4219499,0.0,183.8125,139
1777395854.931896,0.0,183.828125,139
1777395855.439659,0.0,184.515625,139
1777395855.94516,0.0,184.40625,139
1777395856.451911,0.0,184.265625,139
1777395856.969315,0.0,184.53125,139
1777395857.4794471,0.0,184.546875,139
1777395857.993205,0.0,187.265625,139
1777395858.501428,0.0,193.796875,139
1777395859.006258,0.0,193.796875,139
1777395859.512057,0.0,193.796875,139
1777395860.02256,0.0,193.796875,139
1777395860.532525,0.0,185.078125,139
1777395861.038412,0.0,179.15625,139
1777395861.549223,0.0,176.921875,139
1777395862.0575402,0.0,176.765625,139
1777395862.567758,0.0,179.9375,139
1777395863.0766551,0.0,177.890625,139
1777395863.5863922,0.0,196.53125,139
1777395864.101456,0.0,187.078125,139
1777395864.607311,0.0,180.265625,139
1777395865.1171331,0.0,178.875,139
1777395865.626826,0.0,177.28125,139
1777395866.137381,0.0,196.578125,139
1777395866.6517608,0.0,189.828125,139
1777395867.161841,0.0,183.5,139
1777395867.669534,0.0,181.09375,139
1777395868.177014,0.0,177.0,139
1777395868.692791,0.0,177.40625,139
1777395869.201837,0.0,177.1875,139
1777395869.707649,0.0,200.109375,139
1777395870.213341,0.0,197.046875,139
1777395870.723503,0.0,192.859375,139
1777395871.232275,0.0,189.703125,139
1777395871.738653,0.0,189.65625,139
1777395872.26372,0.0,189.359375,139
1777395872.77362,0.0,189.640625,139
1777395873.281898,0.0,183.03125,139
1777395873.791959,0.0,183.0,139
1777395874.300949,0.0,183.09375,139
1777395874.811028,0.0,182.125,139
1777395875.410059,0.0,177.203125,91
1777395875.91929,0.0,198.65625,128
1777395876.4262059,0.0,197.890625,139
1777395876.9359648,0.0,198.140625,139
1777395877.445635,0.0,198.015625,139
1777395877.9565198,0.0,198.453125,139
1777395878.462894,0.0,198.453125,139
