timestamp,cpu_percent,rss_memory_mb,open_fds
1777396107.07137,0.0,177.90625,54
1777396107.578518,0.0,207.703125,331
1777396108.089782,0.0,556.203125,3646
1777396108.600875,0.0,825.5,6209
1777396109.1118379,0.0,1073.015625,8553
1777396109.622429,0.0,1279.421875,10517
1777396110.132787,0.0,1499.90625,12613
1777396110.64484,0.0,1556.296875,14185
1777396111.157429,0.0,1566.515625,15715
1777396111.6702158,0.0,1602.828125,17245
1777396112.179338,0.0,1679.0,18638
1777396112.687107,0.0,1734.140625,19338
1777396113.1947389,0.0,1649.625,16917
1777396113.810372,0.0,1604.609375,15161
1777396114.318325,0.0,1525.90625,13567
1777396114.834304,0.0,1482.234375,12121
1777396115.3479738,0.0,1452.9375,11152
1777396115.860697,0.0,1439.0,10623
1777396116.372384,0.0,1435.0625,10348
1777396116.885171,0.0,1432.390625,10209
1777396117.396642,0.0,1430.796875,10089
1777396117.908619,0.0,1429.90625,10026
1777396118.416718,0.0,1429.375,9959
1777396118.92491,0.0,1429.109375,9935
1777396119.4344902,0.0,1428.859375,9901
1777396119.943083,0.0,1428.859375,9891
1777396120.455745,0.0,1428.609375,7465
1777396120.966677,0.0,1428.609375,7461
1777396121.479292,0.0,1428.359375,5020
1777396121.991462,0.0,1427.921875,54
1777396122.504054,0.0,1427.921875,54
1777396123.018659,0.0,1427.921875,54
1777396123.53087,0.0,1427.921875,54
1777396124.0427809,0.0,1427.921875,54
1777396124.555707,0.0,1427.921875,54
1777396125.0628512,0.0,1427.921875,54
1777396125.574763,0.0,1427.921875,54
1777396126.0834858,0.0,1427.921875,54
1777396126.592726,0.0,1427.921875,54
1777396127.105098,0.0,1427.921875,54
1777396127.613633,0.0,1427.921875,54
1777396128.1263208,0.0,1427.921875,54
1777396128.639158,0.0,1427.921875,54
1777396129.152121,0.0,1427.921875,54
1777396129.659073,0.0,1427.921875,54
1777396130.168119,0.0,1427.921875,54
1777396130.681312,0.0,1427.921875,54
1777396131.19473,0.0,1427.921875,54
1777396131.703635,0.0,1427.921875,54
1777396132.217031,0.0,1427.921875,54
1777396132.729835,0.0,1427.921875,54
1777396133.243038,0.0,1427.921875,54
1777396133.755853,0.0,1427.921875,54
1777396134.268758,0.0,1427.921875,54
1777396134.781354,0.0,1427.921875,54
1777396135.294284,0.0,1427.921875,54
1777396135.807146,0.0,1427.921875,54
